scene_id,role,path,device_or_medium,render_mode,text_render_mode,source_or_origin,sha256,width,height,status
SCENE-001,intro,work/rendered_final_scenes/scene_001.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,f8b6cbc2051ee5521eb6b25630f2dd02165b8c52659bd3e06ae8b80cecca666b,1920,1080,generated_full_draft
SCENE-002,overview,work/rendered_final_scenes/scene_002.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,6b85d30dd3bef485c7849509c3dfd08156a5f98fbd57bea39e4e2c145b420de6,1920,1080,generated_full_draft
SCENE-003,section_1,work/rendered_final_scenes/scene_003.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,56e939c3928aa74cdb7b791daf091e1458372e676160d229804bed169a1c4311,1920,1080,generated_full_draft
SCENE-004,current_2sv_method,work/rendered_final_scenes/scene_004.png,PCブラウザ,official,pil_overlay,SRC-001; assets/captured/pc/scene_004_google_signin_2sv_entry.jpg; authenticated entry capture,818d66e4df34233086da123af32159a9aeec63aa572d38bbb849c6534c369e4e,1920,1080,captured_official_ui_entry_v3
SCENE-005,prompt_explanation,work/rendered_final_scenes/scene_005.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,8481e3812e249a63ea6d66cfae89cb3279f5556ca7357388ecae1c4cf84efe6e,1920,1080,generated_full_draft
SCENE-006,section_2,work/rendered_final_scenes/scene_006.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,460abae6ffb33cc3a976fa4b8d7c1144689929ef2243a0bb5114e5afd14a89e7,1920,1080,generated_full_draft
SCENE-007,backup_codes,work/rendered_final_scenes/scene_007.png,PCブラウザ,official,pil_overlay,SRC-003; assets/captured/pc/scene_007_google_backup_codes_entry.jpg; authenticated entry capture,b57c222f6285082c1ab12487d8b4037a8204fac61ec96fc3e520e10338d64b44,1920,1080,captured_official_ui_entry_v3_no_code_digits
SCENE-008,backup_caution,work/rendered_final_scenes/scene_008.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,956da1b9613ce75f6e8a6312b7ae47abe48378b5d032ad39731ba4dbf8a4c0fb,1920,1080,generated_full_draft
SCENE-009,section_3,work/rendered_final_scenes/scene_009.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,47526c7da3c9cc54741e1c88a012dee94888c42d1fbd2a121724fa574d01ffdb,1920,1080,generated_full_draft
SCENE-010,passkeys_and_security_keys,work/rendered_final_scenes/scene_010.png,PCブラウザ,official,pil_overlay,SRC-004; assets/captured/pc/scene_010_google_passkey_entry.jpg; authenticated entry capture,a61a5a3f1c56936e4e3380ac76c81effbcb08d4912f454c0af9197cf70853961,1920,1080,captured_official_ui_entry_v3_entry_only
SCENE-011,passkey_caution,work/rendered_final_scenes/scene_011.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,0f4487abcf52db00894027568955d5f2866df6d6acd144f5f81385d04d982879,1920,1080,generated_full_draft
SCENE-012,summary,work/rendered_final_scenes/scene_012.png,template,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,40b7207866142d24f400e96655e442a8727569c902bc26a76b175f21833e8822,1920,1080,generated_full_draft
POSTROLL-CTA,channel_cta,work/channel_cta.png,既存CTA asset,template,pil_overlay,config/channel_cta.json:channel_common_cta,d9aaa6a787ee1511b787b8d594bfa5d9fbebfa5c0bec9ccc6e8b8bc3dbf607c0,1920,1080,generated_full_draft
AUDIO-CTA,cta_audio,audio/voicevox_kenzaki/cta_channel_common.wav,VOICEVOX:剣崎雌雄 ノーマル,audio,n/a,config/channel_cta.json:channel_common_cta,188661261386755b11d830e5fc73117c2481e811aee314ae5b41d5cfc6d90a79,,,reused_approved_common_cta_11.563s
